iter	Logloss
0	0.6794215955
1	0.6660967416
2	0.6578233166
3	0.6435387248
4	0.6331872419
5	0.6227694215
6	0.6133300527
7	0.6022798226
8	0.5929776022
9	0.58178194
10	0.570266757
11	0.5608023243
12	0.5502163781
13	0.5400839635
14	0.5323063797
15	0.5241583072
16	0.5165194047
17	0.5077651002
18	0.4983266694
19	0.4941744339
20	0.4871492887
21	0.4807978796
22	0.4759757945
23	0.4657326305
24	0.4587617428
25	0.4538189749
26	0.4483135241
27	0.4381235209
28	0.4322280327
29	0.4269161002
30	0.4206155087
31	0.4172401929
32	0.4117637941
33	0.4068797037
34	0.4019263194
35	0.3972207927
36	0.3910879453
37	0.3868110239
38	0.3829035828
39	0.3759268038
40	0.3684805353
41	0.3617002355
42	0.3573454766
43	0.3527309973
44	0.3478539671
45	0.343710171
46	0.3393142433
47	0.3338943238
48	0.3295934014
49	0.3247243117
50	0.3203082072
51	0.3146165297
52	0.3090706579
53	0.3047676892
54	0.2995179487
55	0.2950356567
56	0.2910585304
57	0.2860413344
58	0.2811231268
59	0.2771282994
60	0.2726553868
61	0.2703292696
62	0.2662600109
63	0.2625888622
64	0.2596341878
65	0.2572454388
66	0.2548090213
