iter	Passed	Remaining
0	1	74
1	2	78
2	3	69
3	4	64
4	4	61
5	5	59
6	6	57
7	7	56
8	8	56
9	9	56
10	10	54
11	11	53
12	12	51
13	13	50
14	14	49
15	15	48
16	16	47
17	17	46
18	17	45
19	18	44
20	19	43
21	20	41
22	21	40
23	22	39
24	22	38
25	23	37
26	24	36
27	25	35
28	26	34
29	27	33
30	28	32
31	28	31
32	29	30
33	30	29
34	31	28
35	32	28
36	33	27
37	34	26
38	35	25
39	36	24
40	37	23
41	38	22
42	39	21
43	40	20
44	41	20
45	41	19
46	42	18
47	43	17
48	44	16
49	45	15
50	46	14
51	46	13
52	47	12
53	48	11
54	49	10
55	50	9
56	51	8
57	51	8
58	52	7
59	53	6
60	54	5
61	55	4
62	56	3
63	56	2
64	57	1
65	58	0
66	59	0
